time,wx,wy,wz
1.682,-0.03,-0.01,0.00
1.686,-0.03,-0.01,0.01
1.690,-0.03,-0.02,0.02
1.694,-0.02,-0.02,0.03
1.701,-0.02,-0.01,0.03
1.702,-0.02,-0.00,0.04
1.705,-0.02,-0.00,0.04
1.709,-0.01,-0.00,0.03
1.722,-0.01,-0.00,0.03
1.723,-0.02,-0.00,0.03
1.723,-0.02,-0.00,0.03
1.725,-0.02,-0.01,0.03
1.739,-0.03,-0.01,0.03
1.739,-0.03,-0.01,0.02
1.740,-0.03,-0.01,0.02
1.741,-0.04,-0.01,0.01
1.756,-0.04,-0.01,0.01
1.757,-0.03,-0.01,0.00
1.757,-0.03,-0.01,-0.00
1.758,-0.04,-0.01,-0.01
1.760,-0.04,-0.02,-0.01
1.773,-0.03,-0.02,-0.01
1.774,-0.04,-0.02,-0.01
1.774,-0.03,-0.02,-0.01
1.776,-0.03,-0.01,-0.01
1.788,-0.02,-0.01,-0.01
1.789,-0.02,-0.01,-0.01
1.789,-0.01,-0.00,-0.00
1.792,-0.01,-0.00,0.01
1.796,-0.01,-0.00,0.01
1.801,-0.00,-0.00,0.02
1.804,-0.00,-0.00,0.02
1.808,-0.00,-0.00,0.02
1.812,0.00,-0.00,0.02
1.817,0.00,-0.00,0.01
1.820,-0.00,-0.01,0.01
1.824,0.00,-0.01,0.00
1.828,-0.00,-0.01,0.00
1.832,-0.01,-0.01,-0.00
1.835,-0.00,-0.01,-0.00
1.839,-0.01,-0.01,-0.00
1.846,-0.01,-0.01,-0.00
1.849,-0.01,-0.01,-0.00
1.852,-0.01,-0.01,-0.00
1.858,-0.01,-0.01,-0.01
1.863,-0.01,-0.01,-0.01
1.864,-0.01,-0.01,-0.02
1.867,-0.01,-0.01,-0.02
1.872,-0.01,-0.01,-0.03
1.875,-0.02,-0.01,-0.03
1.880,-0.02,-0.01,-0.04
1.884,-0.02,-0.02,-0.05
1.886,-0.02,-0.02,-0.06
1.890,-0.02,-0.02,-0.06
1.899,-0.02,-0.02,-0.07
1.899,-0.01,-0.02,-0.07
1.905,-0.01,-0.02,-0.07
1.905,-0.01,-0.01,-0.07
1.910,-0.02,-0.01,-0.08
1.921,-0.01,-0.02,-0.08
1.921,-0.01,-0.01,-0.07
1.922,-0.01,-0.01,-0.07
1.926,-0.00,-0.01,-0.07
1.930,-0.01,-0.01,-0.06
1.934,-0.00,-0.01,-0.06
1.938,-0.01,-0.00,-0.06
1.941,-0.01,0.00,-0.06
1.947,-0.01,0.00,-0.05
1.950,-0.01,0.00,-0.05
1.953,-0.01,0.00,-0.05
1.957,-0.01,0.00,-0.05
1.964,-0.01,0.00,-0.05
1.966,-0.01,-0.00,-0.05
1.970,-0.02,-0.00,-0.05
1.974,-0.02,-0.01,-0.05
1.978,-0.02,-0.01,-0.05
1.981,-0.02,-0.01,-0.05
1.985,-0.02,-0.01,-0.05
1.989,-0.02,-0.01,-0.05
1.993,-0.02,-0.02,-0.05
2.001,-0.02,-0.02,-0.05
2.002,-0.02,-0.02,-0.04
2.024,-0.02,-0.02,-0.04
2.026,-0.01,-0.02,-0.04
2.026,-0.01,-0.02,-0.03
2.026,-0.01,-0.02,-0.03
2.027,-0.00,-0.01,-0.02
2.027,-0.00,-0.01,-0.02
2.035,-0.01,-0.01,-0.02
2.036,-0.01,-0.00,-0.01
2.036,-0.01,-0.00,-0.00
2.041,-0.01,-0.00,0.00
2.045,-0.02,-0.01,0.00
2.049,-0.02,-0.01,0.01
2.052,-0.02,-0.00,0.01
2.057,-0.02,-0.00,0.01
2.061,-0.01,-0.00,0.01
2.065,-0.01,-0.00,0.01
2.069,-0.01,-0.00,0.01
2.072,-0.00,-0.00,0.02
2.076,-0.00,-0.00,0.02
