time,gFx,gFy,gFz,TgF
2.240000,0.1234,0.9924,0.0991,1.005
2.245000,0.1312,0.9919,0.0954,1.005
2.250000,0.1322,0.9919,0.0912,1.005
2.255000,0.1305,0.9911,0.0976,1.004
2.260000,0.1300,0.9929,0.1032,1.007
2.266000,0.1280,0.9936,0.1044,1.007
2.269000,0.1280,0.9909,0.1081,1.005
2.275000,0.1312,0.9897,0.1086,1.004
2.281000,0.1283,0.9909,0.1069,1.005
2.284000,0.1229,0.9936,0.1064,1.007
2.290000,0.1229,0.9885,0.1079,1.002
2.295000,0.1236,0.9916,0.1142,1.006
2.302000,0.1354,0.9907,0.1115,1.006
2.305000,0.1339,0.9921,0.1071,1.007
2.309000,0.1315,0.9909,0.1003,1.005
2.314000,0.1302,0.9909,0.0974,1.004
2.319000,0.1232,0.9936,0.0903,1.005
2.324000,0.1241,0.9909,0.0934,1.003
2.329000,0.1254,0.9914,0.0971,1.004
2.334000,0.1251,0.9916,0.1008,1.005
2.339000,0.1217,0.9919,0.1081,1.005
2.344000,0.1185,0.9909,0.1061,1.004
2.350000,0.1215,0.9929,0.1086,1.006
2.353000,0.1212,0.9921,0.1096,1.005
2.358000,0.1236,0.9902,0.1101,1.004
2.367000,0.1195,0.9919,0.1064,1.005
2.368000,0.1207,0.9929,0.1044,1.006
2.373000,0.1193,0.9926,0.1042,1.005
2.379000,0.1207,0.9907,0.1064,1.004
2.384000,0.1183,0.9958,0.1052,1.008
2.387000,0.1190,0.9933,0.1071,1.006
2.392000,0.1197,0.9931,0.1069,1.006
2.398000,0.1195,0.9907,0.1064,1.003
2.402000,0.1212,0.9921,0.1071,1.005
2.408000,0.1183,0.9919,0.1027,1.004
2.412000,0.1249,0.9904,0.1013,1.003
2.418000,0.1244,0.9911,0.1003,1.004
2.421000,0.1229,0.9907,0.1003,1.003
2.427000,0.1215,0.9926,0.1020,1.005
2.431000,0.1202,0.9919,0.1010,1.004
2.436000,0.1234,0.9921,0.1010,1.005
2.441000,0.1310,0.9904,0.0993,1.004
2.446000,0.1271,0.9914,0.1091,1.005
2.453000,0.1107,0.9924,0.0998,1.003
2.461000,0.1200,0.9921,0.1015,1.004
2.462000,0.1234,0.9938,0.1044,1.007
2.466000,0.1312,0.9902,0.1098,1.005
2.470000,0.1312,0.9926,0.1118,1.007
2.476000,0.1271,0.9919,0.1127,1.006
2.480000,0.1280,0.9924,0.1110,1.007
2.485000,0.1344,0.9926,0.1057,1.007
2.490000,0.1200,0.9914,0.1037,1.004
2.495000,0.1146,0.9931,0.0966,1.004
2.500000,0.1215,0.9909,0.0930,1.003
2.505000,0.1268,0.9907,0.0944,1.003
2.509000,0.1305,0.9911,0.1003,1.005
2.515000,0.1312,0.9907,0.1049,1.005
2.519000,0.1268,0.9933,0.1061,1.007
2.525000,0.1251,0.9924,0.1057,1.006
2.531000,0.1215,0.9938,0.1071,1.007
2.534000,0.1217,0.9921,0.1044,1.005
2.539000,0.1239,0.9919,0.1032,1.005
2.544000,0.1234,0.9899,0.1025,1.003
2.550000,0.1227,0.9924,0.1059,1.006
2.554000,0.1222,0.9907,0.1069,1.004
2.559000,0.1222,0.9919,0.1032,1.005
2.567000,0.1222,0.9933,0.1039,1.006
2.568000,0.1244,0.9904,0.1005,1.003
2.574000,0.1219,0.9931,0.1030,1.006
2.579000,0.1232,0.9926,0.1032,1.006
2.583000,0.1219,0.9921,0.1032,1.005
2.588000,0.1234,0.9943,0.1059,1.008
2.593000,0.1276,0.9914,0.1086,1.005
2.599000,0.1205,0.9919,0.1064,1.005
2.603000,0.1190,0.9924,0.1047,1.005
2.608000,0.1202,0.9914,0.1054,1.004
2.613000,0.1197,0.9916,0.1003,1.004
2.618000,0.1227,0.9899,0.1000,1.003
